
------------------------------------------------------------------------------

tsLinesOfCode, v2.4.0 (build 07/31/2013)

  Author(s): Richard S. Gordon
  Copyright (c) 2007-2013 Richard S. Gordon.
		All rights reserved.
  GNU General Public License, Version 3, 29 June 2007

  Credits: 

	  tsLibCLI Import & Application Launch Features: 
	  Copyright (c) 2007-2009 Frederick A. Kier. 
			All rights reserved.

	  File Extension Features of SLOCCount 2.26: 
	  Copyright (c) 2001-2004 David A. Wheeler. 
			All rights reserved.

	  Algorithm Features of COCOMO(R) 81: 
	  Copyright (c) 1981 Dr. Barry W. Boehm. 
			All rights reserved.

	  Python Logging Module API Features: 
	  Copyright (c) 2001-2013 Python Software Foundation.
			All rights reserved.
	  PSF License Agreement for Python 2.7.3 & 3.3.0

------------------------------------------------------------------------------

		Individual Source Code Feature Statistics

    CODE    CMNTS    LINES    WORDS    CHARS PATH/FILE
       0       34       34       91     1075 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-2-DistributionReadMeFiles/THANKS.txt
       0      704      704     3328    26795 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-2-DistributionReadMeFiles/TO-DO.txt
       0      299      299     1776    14056 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-2-DistributionReadMeFiles/TROUBLESHOOT.txt
       0       41       41       90     1501 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-3-DeveloperReadMeFiles/$README-HowToUseAndModify.txt
      48       32       80      163     1597 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-3-DeveloperReadMeFiles/fragment.py
       0      304      304     1953    13381 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-3-DeveloperReadMeFiles/README-01-Title_Page.txt
       0      133      133      316     3722 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-3-DeveloperReadMeFiles/README-02-Table_Of_Contents.txt
       0       32       32      133     1319 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-3-DeveloperReadMeFiles/README-03-Purpose.txt
       0      100      100      516     3940 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-3-DeveloperReadMeFiles/README-04-Goals.txt
       0       63       63      365     2855 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-3-DeveloperReadMeFiles/README-05-Non-Goals.txt
       0      128      128      664     5482 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-3-DeveloperReadMeFiles/README-06-Design_Strategy.txt
       0       80       80      429     4051 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-3-DeveloperReadMeFiles/README-07-Design_Architecture.txt
       0       32       32      182     1421 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-3-DeveloperReadMeFiles/README-08-Software_Configuration_Management.txt
       0      458      458     1358    16086 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-3-DeveloperReadMeFiles/README-09-tsWxGTUI_Directories.txt
       0      623      623     2874    24553 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-3-DeveloperReadMeFiles/README-10-tsToolkitCLI_Directories.txt
       0      121      121      641     4830 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-3-DeveloperReadMeFiles/README-11-tsToolkitGUI_Directories.txt
       0      258      258     1369    10726 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-3-DeveloperReadMeFiles/README-12-Features.txt
       0      139      139      689     5199 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-3-DeveloperReadMeFiles/README-13-Current_Capabilities.txt
       0       59       59      233     1975 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-3-DeveloperReadMeFiles/README-14-Current_Limitations.txt
       0       77       77      306     2961 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-3-DeveloperReadMeFiles/README-15-Reference_Documents.txt
       0     1228     1228     4712    43887 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-3-DeveloperReadMeFiles/README-draft.txt
       0      344      344     1198    14897 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-3-DeveloperReadMeFiles/README.txt
       0       34       34      166     1301 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-3-DeveloperReadMeFiles/wxPython-PyPI.txt
       0       36       36       90     1399 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-4-DeveloperTutorialFiles/$README-DeveloperTutorialFiles.txt
      57      134      191      693     6050 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-4-DeveloperTutorialFiles/test_tsCxGlobals.py
      66      146      212      727     6496 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-4-DeveloperTutorialFiles/test_tsWxGlobals.py
     477      466      943     3516    34819 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-4-DeveloperTutorialFiles/tsCxGlobals.py
       1       21       22       74      638 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-4-DeveloperTutorialFiles/Tutorial_CLI_0_hello_world_print_statement.py
       1       23       24       86      716 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-4-DeveloperTutorialFiles/Tutorial_CLI_1_hello_world_print_function.py
       1       23       24       86      726 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-4-DeveloperTutorialFiles/Tutorial_CLI_2_hello_world_script_environment.py
       4       22       26       68      702 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-4-DeveloperTutorialFiles/Tutorial_CLI_3_hello_world_main_module_application.py
     262      271      533     1516    18632 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-4-DeveloperTutorialFiles/Tutorial_CLI_4_Command_Line_PlatformQuery_Application.py
     245      118      363      978     9612 /cygdrive/d/WR/SoftwareGadgetry-PyPI/Python-2x/tsWxGTUI_Py2x/tsDocCLI/tsDocCLI-4-DeveloperTutorialFiles/Tutorial_GUI_0_Curses_LowLevel_WidgetApi_application.py
